survey,study_group,dietitian_id,user_id,dietitian_participated_in_both_sessions,patient_label,session_index,recommendation_session_id,patient_note,personal_note,num_recommendations,recommendation_index,variant,mode,nutrient,category,text,basket_ids,bad_products,suggestions,notes,Survey ID,Start time,Completion time,Alter,Geschlecht,Arbeitserfahrung als ErnährungsberaterIn (in Jahren),"Ich verwende häufig Software Applikationen (z.B. Nährwertdatenbanken, Ernährungs-Apps, usw.)  in meinem Arbeitsalltag.",Ich halte die DietCoach-Plattform für nützlich.,"Die Nutzung der DietCoach-Plattform ermöglicht es mir, Aufgaben schneller zu erledigen.",Die Nutzung der DietCoach-Plattform steigert meine Produktivität.,Das Erlernen der Nutzung der DietCoach-Plattform fällt mir leicht.,Interaktion mit der DietCoach-Plattform ist klar und verständlich.,Ich finde die DietCoach-Plattform einfach zu nutzen.,"Es fällt mir leicht, die DietCoach-Plattform geschickt zu nutzen.","Ich verfüge über die notwendigen Ressourcen, um die DietCoach-Plattform zu nutzen.",Ich verfüge über die erforderlichen Kenntnisse zur Nutzung der DietCoach-Plattform.,Die DietCoach-Plattform ist mit anderen von mir verwendeten Technologien kompatibel.,"Ich beabsichtige, die DietCoach-Plattform auch in Zukunft zu nutzen, sofern sie verfügbar ist.","Ich werde versuchen, die DietCoach-Plattform bei meiner Arbeit zu nutzen, sofern sie verfügbar ist.","Ich habe vor, die DietCoach-Plattform weiterhin häufig zu nutzen, sofern sie verfügbar ist.",DietCoach zu nutzen macht Spaß,DietCoach zu nutzen ist angenehm,DietCoach zu nutzen ist sehr unterhaltsam,"Ich denke, dass ich die DietCoach-Plattform häufig nutzen möchte.",Ich finde die DietCoach-Plattform unnötig komplex.,Ich finde die DietCoach-Plattform einfach zu bedienen.,"Ich glaube, dass ich die Unterstützung einer technischen Person benötige, um die DietCoach-Plattform nutzen zu können.","Ich finde, dass die verschiedenen Funktionen der DietCoach-Plattform gut integriert waren.","Ich finde, dass die DietCoach-Plattform zu inkonsistent war.","Ich könnte mir vorstellen, dass die meisten Ernährungsberater die DietCoach-Plattform sehr schnell erlernen würden.",Ich finde die DietCoach-Plattform sehr umständlich zu bedienen.,Ich fühlte mich bei der Nutzung der DietCoach-Plattform sehr sicher.,"Ich musste viele Dinge lernen, bevor ich mit der DietCoach-Plattform loslegen konnte.",Die DietCoach-Plattform verbessert mein Verständnis für die Lebensmittelauswahl der Patienten.,Die Bereitstellung von Ernährungsempfehlungen unter Einbezug der tatsächlichen Lebensmittel-Einkaufsdaten der Patienten würde die Qualität der Ernährungsversorgung verbessern.,"Patienten würden mit einer Ernährungsberatung, die auf ihrem tatsächlichen Kaufverhalten basiert, bessere Gesundheitsergebnisse erzielen.","Welcher Prozentsatz Ihrer Patienten könnte Ihrer Meinung nach davon profitieren, wenn Sie die DietCoach-Plattform nutzen?",Mehrpersonenhaushalt,Die Nutzung der Treuekarte wird vorausgesetzt,Es werden nur Einkäufe berücksichtigt,Nur Einkäufe bei Migros und Coop werden berücksichtigt,"Medizinische Diagnose des Patienten (z.B., Diabetes)","Demografie des Kunden (Geschlecht, Alter)","Gibt es noch andere Faktoren, die Ihre Einschätzung der Nützlichkeit von DietCoach beeinflussen?","Ich würde mich dafür einsetzen, dass das DietCoach-System von Versicherungen abgedeckt wird. ","Die DietCoach-Plattform ist wertvoll, im Vergleich zu anderen Tools oder Systemen, die ich in meinem Arbeitsablauf verwende.",Die DietCoach-Plattform könnte zu Kosteneinsparungen in der Patientenversorgung führen.,"Was halten Sie für einen fairen Preis, den potenzielle Zahler, z.B. Patienten oder deren Krankenversicherungen, für die DietCoach-Plattform zu zahlen bereit wären (pro Patient pro Monat in CHF)?",Wie würden Sie DietCoach in Ihrer Arbeit nutzen?,Wie würden Sie DietCoach sonst verbessern? ,Haben Sie weitere Bedenken oder Anmerkungen?
Follow-up Session,IS Bern,76,2,False,MEDIAN,2,86,,,2,1.0,VAR1,Erhöhen,Proteine,Fertiggerichte,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-481069297712236915"",""https://interactions.ics.unisg.ch/foodcoach#Basket-128084485617748339"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4695258687055071603"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2571099655857501837""]",[],[],,11,2024-09-05 12:48:18,2024-09-05 13:01:22,26,Weiblich,1,4.0,2,1,3,6,6,5,5,6,6,3,1,1,1,4,5,5,1,1,5,1,3.0,3.0,5,1,5,1,2,3,3,0-20% ,5,5,4,4,4,5,"Wir unterscheiden NICHT in ""gute"" und ""schlechte"" Lebensmittel! / sagt nichts über die tatsächliche Einnahme aus z.B. wenn jemand 1kg Reis kauft, bedeutet dies nicht, dass die Person das ganze kilo isst = erleichtert unsere Arbeit nicht, wir müssen trotzdem eine Ernährungsanamnese machen / denke für Makronährstoffaufnahme nicht sinnvoll. ev. eher zur Beurteilung von Mikronährstoffen z.B. ob und welche calciumreichen Lebensmittel eingekauft werden / Datenschutz? / denke wenn Pat. dies wissen, dass wir diese Daten sehen, gehen sie einfach ohne Cumulus einkaufen = Zweck verfehlt / wir machen schon jetzt genaue Produktempfehlungen in den Beratungen, der Online Shop ist dazu völlig ausreichend und ermöglicht uns auch zwischen verschiedenen Anbietern zu vergleichen und nicht nur die Produkte von Mirgso, Coop zu berücksichtigen ",1,1,1,5,Nein,Siehe Rückmeldung,siehe Rückmeldung
Follow-up Session,IS Bern,76,2,False,MEDIAN,2,86,,,2,2.0,VAR1,Erhöhen,Proteine,Fertiggerichte,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-481069297712236915"",""https://interactions.ics.unisg.ch/foodcoach#Basket-128084485617748339"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4695258687055071603"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2571099655857501837""]",[7613312436745],[7623186173011],,11,2024-09-05 12:48:18,2024-09-05 13:01:22,26,Weiblich,1,4.0,2,1,3,6,6,5,5,6,6,3,1,1,1,4,5,5,1,1,5,1,3.0,3.0,5,1,5,1,2,3,3,0-20% ,5,5,4,4,4,5,"Wir unterscheiden NICHT in ""gute"" und ""schlechte"" Lebensmittel! / sagt nichts über die tatsächliche Einnahme aus z.B. wenn jemand 1kg Reis kauft, bedeutet dies nicht, dass die Person das ganze kilo isst = erleichtert unsere Arbeit nicht, wir müssen trotzdem eine Ernährungsanamnese machen / denke für Makronährstoffaufnahme nicht sinnvoll. ev. eher zur Beurteilung von Mikronährstoffen z.B. ob und welche calciumreichen Lebensmittel eingekauft werden / Datenschutz? / denke wenn Pat. dies wissen, dass wir diese Daten sehen, gehen sie einfach ohne Cumulus einkaufen = Zweck verfehlt / wir machen schon jetzt genaue Produktempfehlungen in den Beratungen, der Online Shop ist dazu völlig ausreichend und ermöglicht uns auch zwischen verschiedenen Anbietern zu vergleichen und nicht nur die Produkte von Mirgso, Coop zu berücksichtigen ",1,1,1,5,Nein,Siehe Rückmeldung,siehe Rückmeldung
Follow-up Session,IS Bern,59,2,True,MEDIAN,2,82,"Empfehlung Süssigkeiten: 1 x pro Tag eine Kleinigkeit geniessen (1 Reihe Schoggi, 1 Kugel Glacé, etc.",,1,1.0,VAR1,Reduzieren,Zucker,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-481069297712236915"",""https://interactions.ics.unisg.ch/foodcoach#Basket-128084485617748339"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4695258687055071603"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2571099655857501837""]","[7614800891008,7616700006773,7616700001419,7613404361436]",[],,12,2024-09-05 12:53:44,2024-09-05 13:01:24,38,Weiblich,12,4.0,5,4,4,5,5,5,5,5,5,4,4,4,4,4,5,4,3,3,2,3,3.0,3.0,4,2,3,3,4,4,3,0-20% ,5,3,4,4,3,3,,2,3,3,5,"Da ich kaum ambulante Beratung durchführe, werde ich die App eher selten nutzen",,
Follow-up Session,IS Bern,77,2,False,MEDIAN,2,88,,,2,1.0,VAR1,Reduzieren,Kohlenhydrate,Getreideprodukte & Kartoffeln,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-481069297712236915"",""https://interactions.ics.unisg.ch/foodcoach#Basket-128084485617748339"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4695258687055071603"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2571099655857501837""]",[7613312314661],[],,13,2024-09-05 12:53:24,2024-09-05 13:01:44,26,Weiblich,1,2.0,4,2,2,5,5,5,4,5,5,4,2,2,2,3,5,3,2,2,4,2,2.0,2.0,4,2,3,1,4,3,3,0-20% ,2,2,2,2,2,2,Saisonalität (z.B. Weihnachtszeit etc.),2,2,3,10,Im stationären Setting würde ich die App eher nicht nutzen,,
Follow-up Session,IS Bern,77,2,False,MEDIAN,2,88,,,2,2.0,VAR1,Reduzieren,Kohlenhydrate,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-481069297712236915"",""https://interactions.ics.unisg.ch/foodcoach#Basket-128084485617748339"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4695258687055071603"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2571099655857501837""]",[7614800891008],[],,13,2024-09-05 12:53:24,2024-09-05 13:01:44,26,Weiblich,1,2.0,4,2,2,5,5,5,4,5,5,4,2,2,2,3,5,3,2,2,4,2,2.0,2.0,4,2,3,1,4,3,3,0-20% ,2,2,2,2,2,2,Saisonalität (z.B. Weihnachtszeit etc.),2,2,3,10,Im stationären Setting würde ich die App eher nicht nutzen,,
Follow-up Session,KS Baden,93,3,True,MINIMUM,2,128,,,1,1.0,VAR1,Reduzieren,Fette,Milchprodukte & Alternativen,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4467004909326987625""]",[],[7613404573464],,14,2024-10-29 11:45:56,2024-10-29 11:52:44,42,Männlich,20,2.0,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,4,2,4,4,4.0,1.0,4,1,4,4,4,4,4,21-40%,4,4,4,4,2,2,Allergien,4,3,3,50,Auswertung / Analyse der Einkaufsgewohnheiten,"für Allergien und Unverträglichkeiten Screening, mögliche Diätfehler erkennen",
Follow-up Session,KS Baden,95,3,True,MINIMUM,2,131,,,0,1.0,FREITEXT,,,,Verhältnis von Früchten zu Gemüse: etwa gleich viel Gemüse wie Früchte einkaufen,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4467004909326987625""]",[],"[7613269092322,7613269728054]","Gemüse auch tagsüber einbauen, z.B. als Snack. Bei den Mahlzeiten auch einfache Varianten (..)",15,2024-10-29 11:46:56,2024-10-29 11:58:02,33,Weiblich,10,2.0,6,5,3,5,5,6,5,6,7,4,5,5,4,5,6,7,2,2,4,2,5.0,2.0,5,2,4,1,5,4,3,21-40%,5,3,5,5,1,4,Einkaufszettel ist seehr persönlich (wird wahrsch. auch als seehr persönlich wahrgenommen); Bereitschaft zur Transparenz???,1,3,3,4,"punktuell, nicht dauerhaft (z.B. während 2-4 Sitzungen) nebst anderen Themen/Instrumenten.",Profil finde ich nicht nötig (persönliche Daten wie BMI).,-
Follow-up Session,KS Baden,94,3,True,MINIMUM,2,130,,,1,1.0,VAR1,Reduzieren,Menge,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4467004909326987625""]","[7613269188698,7623186209130,7616800817088,7613312295731]",[],sich max 1 Portion Suesses /salziges pro Tag goennen,16,2024-10-29 11:46:09,2024-10-29 11:58:16,48,Weiblich,8,3.0,5,3,3,5,5,5,5,6,6,5,4,3,3,5,5,4,3,3,4,2,4.0,3.0,4,2,3,2,4,3,3,41-60%,5,4,4,5,3,4,,3,2,3,200,waere nur im ambulanten Bereich moeglich und nicht bei mehrfamilienhaushalten,keine Ahnung,"ich berate gerne persoenlich, die app wuerde dazu fuehren, dass ich mehr am Bildschirm sitzen wuerde"
Follow-up Session,KS Baden,91,1,True,IDEAL,2,129,,,1,1.0,VAR1,Erhöhen / Reduzieren,Fette,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-4155863023014556223"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4040050522663072319"",""https://interactions.ics.unisg.ch/foodcoach#Basket-3536050073416151615"",""https://interactions.ics.unisg.ch/foodcoach#Basket-716777826005987903"",""https://interactions.ics.unisg.ch/foodcoach#Basket-331276855895568959"",""https://interactions.ics.unisg.ch/foodcoach#Basket--21621279463919041"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3075292183097068993"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3107808341112999361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3226307820249501121"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3344893976121003457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3697792111480491457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3813604611831975361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3967393904504425921"",""https://interactions.ics.unisg.ch/foodcoach#Basket--6783979173129571777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7018377829352558017"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7136877308489059777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7169480143239990721"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7287979622376492481"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7406479101512994241"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7870781568211923519"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7835491754675974719"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7097092649206067775""]","[7613312420508,40045009,7616500906594,7610008715306,7616700165821]",[],1 Port. Süsses / Tag einhalten,17,2024-10-29 11:46:22,2024-10-29 11:58:29,34,Weiblich,4,2.0,4,2,2,5,5,5,5,4,5,5,3,3,3,5,5,2,2,1,4,2,4.0,1.0,4,2,4,1,4,3,2,21-40%,5,4,4,5,4,4,Patienten können weniger gut miteinbezogen werden für eine Intervention. Es gibt immer mehrere Möglichkeiten ein Ziel (z.B. Gewichtsziel) zu erreichen.,2,3,2,5,Allenfalls während der Beratung die Einkäufe zusammen mit den Patienten anschauen und anhand eines Beratungsgesprächs Interventionen treffen,,Weitere Schwierigkeit: bei Vorrateinkäufen kann nicht auf eine einzelnen Tag oder Woche geschlossen werden
Follow-up Session,KS Baden,92,1,True,IDEAL,2,132,,,1,1.0,VAR1,Reduzieren,Menge,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-4155863023014556223"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4040050522663072319"",""https://interactions.ics.unisg.ch/foodcoach#Basket-3536050073416151615"",""https://interactions.ics.unisg.ch/foodcoach#Basket-716777826005987903"",""https://interactions.ics.unisg.ch/foodcoach#Basket-331276855895568959"",""https://interactions.ics.unisg.ch/foodcoach#Basket--21621279463919041"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3075292183097068993"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3107808341112999361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3226307820249501121"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3344893976121003457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3697792111480491457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3813604611831975361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3967393904504425921"",""https://interactions.ics.unisg.ch/foodcoach#Basket--6783979173129571777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7018377829352558017"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7136877308489059777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7169480143239990721"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7287979622376492481"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7406479101512994241"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7870781568211923519"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7835491754675974719"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7097092649206067775""]","[7613312420508,40045009,7616500673137,7616500906594,7616500151178,7610008715306,7616500130319,7616500670594,5400265022826,7613312336601,7613312424773,4104420053922,7616700165821,7613269332688]",[],,18,2024-10-29 11:48:07,2024-10-29 11:59:52,29,Weiblich,2,2.0,5,5,5,6,6,6,6,6,6,4,5,5,5,5,6,4,3,1,5,1,5.0,1.0,4,1,4,1,4,3,3,21-40%,4,4,5,5,4,4,"Wenn die Person garnicht viel selbst kocht sondern in einer Kantine, Auswärts isst oder Geschäftlich viel unterwegs ist und dann auf dem Weg isst. ",2,3,2,8,"Ab und Zu max in 2-3 Beratungen, weil es zwar Informationen liefert aber nicht sehr verhaltenstherapeutisch ist.",,"Es zielt auf die Informationsgewinnung und nicht auf die Verhaltensveränderung, was ist der Grund das die Person so einkauft, diese Infos fehlen. "
Follow-up Session,KS St. Gallen,105,3,False,MINIMUM,2,150,,,2,1.0,FREITEXT,,,,Trockenfrüchte durch frische Früchte ersetzen,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4467004909326987625""]","[7613312316863,7613312261767]",[],,19,2024-11-11 13:30:19,2024-11-11 13:38:15,34,Weiblich,4,2.0,3,5,3,5,5,6,5,5,5,4,4,5,4,6,5,5,2,2,4,2,3.0,2.0,4,2,4,2,4,4,4,21-40%,5,5,5,5,5,5,,2,3,2,0,,,
Follow-up Session,KS St. Gallen,105,3,False,MINIMUM,2,150,,,2,2.0,VAR1,Reduzieren,Zucker,Milchprodukte & Alternativen,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4467004909326987625""]","[7613404539064,7613404539002,7623186191930,7613404539026]",[7610900125753],,19,2024-11-11 13:30:19,2024-11-11 13:38:15,34,Weiblich,4,2.0,3,5,3,5,5,6,5,5,5,4,4,5,4,6,5,5,2,2,4,2,3.0,2.0,4,2,4,2,4,4,4,21-40%,5,5,5,5,5,5,,2,3,2,0,,,
Follow-up Session,KS St. Gallen,105,3,False,MINIMUM,2,150,,,2,3.0,FREITEXT,,,,Gezuckerte Milchprodukte durch Natur Milchprodukte ersetzen ,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4467004909326987625""]","[7613404539002,7610200371027,7613404539064,7640121910340,7610200371034,7613404539026,7623186191930]",[],,19,2024-11-11 13:30:19,2024-11-11 13:38:15,34,Weiblich,4,2.0,3,5,3,5,5,6,5,5,5,4,4,5,4,6,5,5,2,2,4,2,3.0,2.0,4,2,4,2,4,4,4,21-40%,5,5,5,5,5,5,,2,3,2,0,,,
Follow-up Session,KS St. Gallen,108,3,True,MINIMUM,2,154,,,1,1.0,VAR1,Erhöhen / Reduzieren,Kohlenhydrate,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4467004909326987625""]","[42280897,7613312261668,7616800817088]","[7623186178368,7610632953129]",,20,2024-11-11 13:43:04,2024-11-11 13:48:16,43,Weiblich,18,2.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,2,4,2,4.0,2.0,4,2,4,2,3,4,4,21-40%,2,4,5,5,4,4,,3,3,2,5,zur Analyse er regelmässigen Einkäufe,-,-
Follow-up Session,KS St. Gallen,105,3,False,MINIMUM,2,150,,,2,1.0,FREITEXT,,,,Trockenfrüchte durch frische Früchte ersetzen,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4467004909326987625""]","[7613312316863,7613312261767]",[],,21,2024-11-11 13:45:30,2024-11-11 13:50:11,34,Weiblich,5,2.0,5,3,3,5,5,5,5,5,5,4,3,3,3,5,6,5,2,2,4,2,1.0,3.0,4,2,2,2,4,2,2,21-40%,5,5,5,5,5,5,,2,2,1,0,,,
Follow-up Session,KS St. Gallen,105,3,False,MINIMUM,2,150,,,2,2.0,VAR1,Reduzieren,Zucker,Milchprodukte & Alternativen,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4467004909326987625""]","[7613404539064,7613404539002,7623186191930,7613404539026]",[7610900125753],,21,2024-11-11 13:45:30,2024-11-11 13:50:11,34,Weiblich,5,2.0,5,3,3,5,5,5,5,5,5,4,3,3,3,5,6,5,2,2,4,2,1.0,3.0,4,2,2,2,4,2,2,21-40%,5,5,5,5,5,5,,2,2,1,0,,,
Follow-up Session,KS St. Gallen,105,3,False,MINIMUM,2,150,,,2,3.0,FREITEXT,,,,Gezuckerte Milchprodukte durch Natur Milchprodukte ersetzen ,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4467004909326987625""]","[7613404539002,7610200371027,7613404539064,7640121910340,7610200371034,7613404539026,7623186191930]",[],,21,2024-11-11 13:45:30,2024-11-11 13:50:11,34,Weiblich,5,2.0,5,3,3,5,5,5,5,5,5,4,3,3,3,5,6,5,2,2,4,2,1.0,3.0,4,2,2,2,4,2,2,21-40%,5,5,5,5,5,5,,2,2,1,0,,,
Follow-up Session,KS St. Gallen,103,3,True,MINIMUM,2,157,,,1,1.0,VAR2,Erhöhen / Reduzieren,,"Fett, Öle & Nüsse",,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4467004909326987625""]","[7610200046925,7613269880585,7613269268406]","[7610200323712,7613269311522]",,22,2024-11-11 13:44:04,2024-11-11 13:50:27,26,Weiblich,3,3.0,5,4,4,6,5,5,5,5,5,5,5,5,5,5,5,6,4,3,4,2,4.0,2.0,4,2,4,2,3,4,4,41-60%,4,4,4,4,3,3,,3,3,3,10,"Vermutlich nur bei Adipositas, Diabetes und Dyslipidämie Patient*innen","Die Suchfunktion müsste schneller sein, man sollte nicht ewig scrollen müssen. ",
Follow-up Session,KS St. Gallen,98,2,True,MEDIAN,2,153,,,1,1.0,VAR1,Erhöhen / Reduzieren,Fette,Fertiggerichte,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-481069297712236915"",""https://interactions.ics.unisg.ch/foodcoach#Basket-128084485617748339"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4695258687055071603"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2571099655857501837""]","[7640175280130,7613312312490]",[7613031523825],"Light Produkte, Salatsauce selber machen",23,2024-11-11 13:42:59,2024-11-11 13:51:26,35,Weiblich,6,4.0,5,5,5,5,5,5,5,3,5,5,5,5,5,6,6,6,4,2,4,1,4.0,2.0,4,2,4,1,4,4,4,41-60%,2,5,5,5,5,5,,4,4,4,500,in ambulanten Beratungen,,unklar wie viel wirklich gegessen wurde. Es gibt guten Überblick auf die Produkteauswahl.
